,category,categoryId,categoryName,categoryUrl,foodImageUrl,genre,mediumImageUrl,nickname,pickup,rank,recipeCost,recipeDescription,recipeId,recipeIndication,recipeMaterial,recipePublishday,recipeTitle,recipeUrl,shop,smallImageUrl,中華,他,和食,洋食
801,3.0,,韓国鍋・キムチチゲ鍋,https://recipe.rakuten.co.jp/category/23-406/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ebebfac701581368910d63dc36838accb8a75f72.60.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ebebfac701581368910d63dc36838accb8a75f72.60.2.3.2.jpg?thum=54,やえまる,0.0,3.0,300円前後,ピリ辛で代謝アップ！アツアツスンドゥブです^_^,1370011965.0,約15分,"['豆腐（木綿でも絹でも）', 'ニラ', '卵', '水', '☆味噌', '☆豆板醤', '☆酒', '☆みりん', '☆鶏ガラスープの素', '☆ニンニク']",2017/09/10 15:35:56,お家で本格スンドゥブチゲ♡,https://recipe.rakuten.co.jp/recipe/1370011965/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ebebfac701581368910d63dc36838accb8a75f72.60.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
823,3.0,,白味噌鍋,https://recipe.rakuten.co.jp/category/23-698/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b6b70717104aec5a2ae3a4908e348f71d5f3e736.80.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b6b70717104aec5a2ae3a4908e348f71d5f3e736.80.2.3.2.jpg?thum=54,オレガノミントス,0.0,1.0,500円前後,お手頃なアラで‥海のフォアグラと呼ばれるカジカの肝入り(*^^*),1190013808.0,約30分,"['カジカのアラ(肝入り)', 'ネギ', '●じゃがいも', '●大根', '●人参', '水', '酒', '味噌']",2016/11/20 21:35:16,肝が美味しい♪カジカ汁,https://recipe.rakuten.co.jp/recipe/1190013808/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b6b70717104aec5a2ae3a4908e348f71d5f3e736.80.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
854,3.0,,ロシア料理,https://recipe.rakuten.co.jp/category/25-248/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2555ee86b7e1d6adae42cb9bf7829572fe51b339.26.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2555ee86b7e1d6adae42cb9bf7829572fe51b339.26.2.3.2.jpg?thum=54,はらのむし,0.0,1.0,指定なし,ロシア語を習っていたとき、ロシア人の先生に教わったボルシチのレシピです。,1920016017.0,約30分,"['牛肉（カレー・シチュー用）', 'ねぎの青い部分', 'ビーツ', 'たまねぎ', 'にんじん', 'じゃがいも', 'トマト', 'キャベツ', 'にんにく', '油', 'ローリエ', '水', '粗塩', 'コショウ', '砂糖・酢・トマトケチャップ', 'サワークリーム', 'パセリ']",2017/06/29 23:21:57,ロシア人の先生に教わった ボルシチ,https://recipe.rakuten.co.jp/recipe/1920016017/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/2555ee86b7e1d6adae42cb9bf7829572fe51b339.26.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
1025,3.0,,いわしのつみれ,https://recipe.rakuten.co.jp/category/32-345/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c4f77b903698810cfce7ad40ab630b6f1f8fbfe9.13.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c4f77b903698810cfce7ad40ab630b6f1f8fbfe9.13.2.3.2.jpg?thum=54,キー子0914,1.0,3.0,300円前後,いわしをおいしく食べられます。,1990000372.0,約15分,"['いわしの開いたもの（大）', 'おろししょうが', '小麦粉', 'しょうゆ', '水', 'だしの素', 'ねぎ']",2011/02/16 05:45:21,簡単柔らか、いわしのつみれ汁,https://recipe.rakuten.co.jp/recipe/1990000372/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c4f77b903698810cfce7ad40ab630b6f1f8fbfe9.13.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
1139,3.0,,豆乳,https://recipe.rakuten.co.jp/category/35-470/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/854eabdae65621bfc32bbb049e9668012f81e40d.37.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/854eabdae65621bfc32bbb049e9668012f81e40d.37.2.3.2.jpg?thum=54,ちえ'sキッチン,1.0,2.0,300円前後,たっぷりシャキシャキ野菜が味わえる、お豆腐と豆乳の濃厚まろやかスープ。すりゴマとラー油を効かせてどうぞ♪,1790011205.0,約15分,"['キャベツ', 'もやし', '豚ミンチ', '絹とうふ', 'ゴマ油', 'しょうが(チューブ)', 'にんにく(チューブ)', '水', '豆乳', '顆粒鶏がらスープ', '味噌', '塩コショー', '白すりゴマ', 'ラー油']",2015/04/29 11:14:08,キャベツともやしたっぷり！簡単坦々風豆乳スープ♪,https://recipe.rakuten.co.jp/recipe/1790011205/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/854eabdae65621bfc32bbb049e9668012f81e40d.37.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1181,3.0,,薬膳料理,https://recipe.rakuten.co.jp/category/39-709/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/debf933a736bee70bb1625de69839d493328f40a.90.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/debf933a736bee70bb1625de69839d493328f40a.90.2.3.2.jpg?thum=54,8葉っぱ8,0.0,1.0,"1,000円前後",沢山作ったのに、経営者の彼が1人で全部食べてしまったぐらい気に入ってくれたスープです♪私は一口も食べてないのに！！！,1760018888.0,約1時間,"['骨つきの鳥もも肉', '手羽先', '塩', '水', '酒', '生姜', 'ネギの青い部分', '干しナツメ（あれば）', '松の実（あれば）', 'クコの実（あれば）']",2014/08/27 09:42:33,彼のすごーく気に入った薬膳スープ,https://recipe.rakuten.co.jp/recipe/1760018888/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/debf933a736bee70bb1625de69839d493328f40a.90.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1184,3.0,,薬膳料理,https://recipe.rakuten.co.jp/category/39-709/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1878f71cbf4c0ea104b517e273669ca3127d8c99.69.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1878f71cbf4c0ea104b517e273669ca3127d8c99.69.2.3.2.jpg?thum=54,yuuuug,0.0,4.0,指定なし,"ストレスや食べ過ぎ、風邪などで弱った胃腸に！負担は少なく栄養はたっぷり！
コラーゲンたっぷりでお肌にも嬉しい♡",1920009373.0,指定なし,"['鶏手羽元', '長ねぎ', '長ねぎ(青い部分)', 'しょうが', 'にんにく', 'なつめ', '松の実', 'もち米', '高麗人参(スライス)', '水']",2014/02/17 21:22:43,弱った胃腸に！栄養染み入る参鶏湯☆,https://recipe.rakuten.co.jp/recipe/1920009373/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/1878f71cbf4c0ea104b517e273669ca3127d8c99.69.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1205,3.0,,スープジャー,https://recipe.rakuten.co.jp/category/40-517/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/9faa47d64701ab83596eeb4f38c242e7f65e7eb4.11.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/9faa47d64701ab83596eeb4f38c242e7f65e7eb4.11.2.3.2.jpg?thum=54,ゆず茶55,0.0,1.0,300円前後,"寒い季節に、あったか〜いお弁当を(^-^)
（270ｍｌスープジャー２個分です）",1560009987.0,約10分,"['ソーセージ', 'たまねぎ', 'じゃがいも', 'にんじん', 'しめじ', '水', '固形コンソメ', '塩こしょう']",2016/10/18 14:48:05,スープジャーで♪簡単ポトフ,https://recipe.rakuten.co.jp/recipe/1560009987/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/9faa47d64701ab83596eeb4f38c242e7f65e7eb4.11.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
1207,3.0,,スープジャー,https://recipe.rakuten.co.jp/category/40-517/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ac75bd2fae15d0e79857654423f1bbfe71a15e53.86.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ac75bd2fae15d0e79857654423f1bbfe71a15e53.86.2.3.2.jpg?thum=54,栗皮茶,0.0,4.0,100円以下,【スープジャー】 お弁当が急に必要になったら、スープジャーに材料を入れて＼（＾▽＾）／おにぎりを持たせればOK。ダイエット中の娘には丁度いいかも！,1210006760.0,5分以内,"['★乾燥ワカメ', '★鶏がらスープの素', '★白ごま', '★おろし生姜', '★醤油', '★カイエンペッパーor一味唐辛子', '★緑豆春雨', 'お湯']",2014/12/03 06:18:32,スープジャーに入れるだけ☆春雨スープ,https://recipe.rakuten.co.jp/recipe/1210006760/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/ac75bd2fae15d0e79857654423f1bbfe71a15e53.86.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1292,3.0,,サンラータン（酸辣湯）,https://recipe.rakuten.co.jp/category/41-545/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/653c91d269a9f5cd9478f323b02c99f0405b980a.35.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/653c91d269a9f5cd9478f323b02c99f0405b980a.35.2.3.2.jpg?thum=54,くろねこ♪かふぇ,0.0,1.0,指定なし,中華の付け合せには、たまにはさっぱりした酸辣湯はいかがでしょうか？^^,1090021540.0,約10分,"['豚肉', 'きくらげ', 'えのき', '豆腐', '溶き卵', '＜スープ＞', '水', '鶏がらスープの素', 'しょうゆ', '酒', '酢', '水溶き片栗粉（片栗粉', '水\u3000各大さじ1）', '黒こしょう', 'ラー油']",2015/03/23 20:53:29,さっぱり酸辣湯♡スーラータン,https://recipe.rakuten.co.jp/recipe/1090021540/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/653c91d269a9f5cd9478f323b02c99f0405b980a.35.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1293,3.0,,サンラータン（酸辣湯）,https://recipe.rakuten.co.jp/category/41-545/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/689b59eaa3387bf8687a8966202770ba7c2a93e3.55.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/689b59eaa3387bf8687a8966202770ba7c2a93e3.55.2.3.2.jpg?thum=54,かづYuzu,0.0,2.0,300円前後,冷蔵庫の残り野菜で簡単にサンラータンスープが出来ちゃいます！お好みの野菜でどうぞ！豚肉を入れてもgood‼︎,1300015801.0,約10分,"['＊中華スープ', '＊えのき', '＊人参(短冊切り)', '＊乾燥キクラゲ(水で戻す)', '卵', '醤油', '塩', 'コショウ', '酢', 'ラー油', '水溶き片栗粉', '生姜(トッピング用)無くてもOK']",2016/06/16 13:28:13,酸っぱさがやみつきになる‼︎サンラータンスープ☆,https://recipe.rakuten.co.jp/recipe/1300015801/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/689b59eaa3387bf8687a8966202770ba7c2a93e3.55.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1294,3.0,,サンラータン（酸辣湯）,https://recipe.rakuten.co.jp/category/41-545/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b27b87888e6b896624fc4a5367a6a239bd3aa0bd.52.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b27b87888e6b896624fc4a5367a6a239bd3aa0bd.52.2.3.2.jpg?thum=54,7272natu,0.0,3.0,300円前後,ふわっふわの肉だんご入りで淡白になりがちなサンラータンも食べごたえがあります！野菜も入れて栄養価と彩りもUP！酸っぱ辛い食欲の出るスープです！,1530003893.0,約30分,"['◆具材', '人参', '椎茸(干ししいたけ)', '小松菜', '豆腐', '卵', '胡麻油', 'ラー油', '◯肉だんご', 'ひき肉(豚か鶏)', '玉ねぎ', '絹豆腐', '片栗粉', 'しょうが', '■スープ', '水', '鶏ガラスープの素(ウェイパー)', '醤油', 'みりん', 'お酢', '胡椒', '水溶き片栗粉(片栗粉と水)']",2015/08/07 12:41:36,ふわふわ肉だんごと野菜のサンラータン,https://recipe.rakuten.co.jp/recipe/1530003893/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b27b87888e6b896624fc4a5367a6a239bd3aa0bd.52.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1295,3.0,,サンラータン（酸辣湯）,https://recipe.rakuten.co.jp/category/41-545/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/275a496139003e9466347d4a5cdaa0a07fb61ea5.16.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/275a496139003e9466347d4a5cdaa0a07fb61ea5.16.2.3.2.jpg?thum=54,acchan66,0.0,4.0,指定なし,"ふわとろスープでほっこり♪
ほどよい酸味で食欲がわきます(^_^)",1100021117.0,約10分,"['○湯', '○鶏ガラスープの素', '○塩', '絹ごし豆腐', 'もやし', '▲醤油、ゴマ油', '水溶き片栗粉', '溶き卵', 'ニラ', '酢', '粗挽き黒コショウ']",2019/03/20 17:52:47,子供が喜ぶ！(^^)もやし・ニラ・豆腐の酸辣湯♪,https://recipe.rakuten.co.jp/recipe/1100021117/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/275a496139003e9466347d4a5cdaa0a07fb61ea5.16.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
1314,3.0,,スンドゥブ,https://recipe.rakuten.co.jp/category/42-565/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/35cdb633133188f7acab113d04dfbb4965a78f71.96.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/35cdb633133188f7acab113d04dfbb4965a78f71.96.2.3.2.jpg?thum=54,kirakirakirarako,0.0,3.0,指定なし,"簡単なのに癖になる美味しさです。
夏は汗をかきながら、冬は冷えた体を温める。
1年中楽しめる鍋です。",1180003142.0,指定なし,"['スンドゥブチゲ用の豆腐又は絹ごし豆腐', '豚肉', '長ネギ', 'キムチ', 'むきあさり', 'むき海老', '卵', '胡麻油', 'にんにく', '唐辛子粉', '酒', '水', 'ダシダ', 'ほんだし', '塩こしょう']",2012/01/29 14:39:31,おうちで簡単　美味しいスンドゥブチゲ,https://recipe.rakuten.co.jp/recipe/1180003142/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/35cdb633133188f7acab113d04dfbb4965a78f71.96.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1321,3.0,,サムゲタン,https://recipe.rakuten.co.jp/category/42-558/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c6f08d6106cf3239f4e09fa26a51ef1fd5db22cd.32.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c6f08d6106cf3239f4e09fa26a51ef1fd5db22cd.32.2.3.2.jpg?thum=54,yycafe,1.0,1.0,指定なし,"おうちで簡単にサムゲタン！！
ダイエットにも♪",1730007843.0,指定なし,"['鶏手羽元', 'にんじん（中）', 'しいたけ', '大根', 'しょうが', 'にんにく', 'ごま油', 'お米', 'お酒', '鶏ガラスープ', '水', 'ほうれん草や小松菜']",2013/06/09 02:25:03,サムゲタン風スープ,https://recipe.rakuten.co.jp/recipe/1730007843/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c6f08d6106cf3239f4e09fa26a51ef1fd5db22cd.32.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1322,3.0,,サムゲタン,https://recipe.rakuten.co.jp/category/42-558/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/122a0b742c3c9d3dd3522bd4713acb4e3ee6da28.90.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/122a0b742c3c9d3dd3522bd4713acb4e3ee6da28.90.2.3.2.jpg?thum=54,ajj1117,0.0,3.0,300円前後,"韓国で夏バテ防止といえばサムゲタン♪
お鍋に材料をいれて煮るだけで本場の味が楽しめます♪♪",1980011766.0,約1時間,"['骨付き鶏モモ肉', '米', '長ネギ', 'にんにく', 'しょうがチューブ', 'しお', 'こしょう', '鶏ガラスープのもと', '水']",2015/08/09 20:17:03,お鍋に入れるだけ☆簡単サムゲタン♪,https://recipe.rakuten.co.jp/recipe/1980011766/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/122a0b742c3c9d3dd3522bd4713acb4e3ee6da28.90.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1323,3.0,,サムゲタン,https://recipe.rakuten.co.jp/category/42-558/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/6d7b90e46e8a10631b8b93e777fc3402485dd54d.62.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/6d7b90e46e8a10631b8b93e777fc3402485dd54d.62.2.3.2.jpg?thum=54,いちママ,1.0,4.0,500円前後,"本当に本当に簡単！
切るものも少なく、炊飯器にお任せメニューなので、料理が苦手な方にもおすすめ！
鶏肉もホロホロになるので切らなくても大丈夫です⭐️",1360015146.0,約1時間,"['鳥もも肉', '長ネギ', 'しめじ', '米', '★水', '★鶏ガラスープのもと', '★にんにくチューブ', '★生姜チューブ', '★胡椒', '★紹興酒（料理酒）', '★みりん']",2019/02/01 19:44:36,炊飯器につっこむだけ！ホロホロ肉の参鶏湯,https://recipe.rakuten.co.jp/recipe/1360015146/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/6d7b90e46e8a10631b8b93e777fc3402485dd54d.62.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1327,3.0,,クッパ,https://recipe.rakuten.co.jp/category/42-560/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dffe4bc9ac254e3740e2575c38e5072cdb360cce.78.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dffe4bc9ac254e3740e2575c38e5072cdb360cce.78.2.3.2.jpg?thum=54,こぶた...,0.0,1.0,300円前後,"フライパン1つで簡単!!

牛肉の旨味が染み出たスープに、もやしとニラたっぷり具沢山で食べ応えあります(*^-^*)

コチュジャン入りで甘辛味です☆",1740020072.0,約15分,"['牛カルビ肉(牛小間でも)', '豆もやし', 'or', 'もやし', 'ニラ', '椎茸', '人参(あれば)', '玉ねぎ(あれば)', 'ごま油', '●おろしニンニク', '●焼肉のタレ', '〇水', '〇牛ダシダ(なければ中華スープ)', '〇コチュジャン', '/', '砂糖', '〇酒', '/', '醤油', 'ご飯', '卵', '煎りゴマ']",2020/04/29 04:46:11,フライパンで簡単♪ カルビクッパ★,https://recipe.rakuten.co.jp/recipe/1740020072/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dffe4bc9ac254e3740e2575c38e5072cdb360cce.78.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1328,3.0,,クッパ,https://recipe.rakuten.co.jp/category/42-560/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c61d340fdec7d33ec8e6ecb95fbf460db279298e.87.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c61d340fdec7d33ec8e6ecb95fbf460db279298e.87.2.3.2.jpg?thum=54,ぺんぎんがまま,0.0,2.0,"1,000円前後","キムチスープばかりが韓国風スープではありません。
これ一品で大満足の牛肉スープです。最初にごま油で炒め煮し、しっかり味をしみ込ませた大根と牛肉のおいしいこと。",1110010880.0,約30分,"['薄切り牛肉（多少脂のある部分）', '大根', 'えのき', 'ごま油', '醤油', '昆布（なければ粉末だしで代用）', '旨味調味料', '塩', '青ネギ']",2015/04/05 17:30:31,ごちそうスープ　大根と牛肉の韓国風,https://recipe.rakuten.co.jp/recipe/1110010880/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c61d340fdec7d33ec8e6ecb95fbf460db279298e.87.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1329,3.0,,クッパ,https://recipe.rakuten.co.jp/category/42-560/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/02aad8029eb03d661f86c29d9d2c75dc15eda25e.93.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/02aad8029eb03d661f86c29d9d2c75dc15eda25e.93.2.3.2.jpg?thum=54,ティア＆アスラン,0.0,3.0,300円前後,"たっぷり野菜にふわふわ玉子のクッパです♪
優しい味わいで身体もポカポカ温まるご飯です☆",1950008442.0,約15分,"['ご飯', '玉子', '玉葱', '人参', '小松菜', '椎茸', 'お水', '鶏がら', '胡麻油', '塩', '黒胡椒', 'サラダ油']",2012/12/03 19:59:17,身体ポカポカ☆野菜玉子クッパ☆,https://recipe.rakuten.co.jp/recipe/1950008442/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/02aad8029eb03d661f86c29d9d2c75dc15eda25e.93.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1330,3.0,,クッパ,https://recipe.rakuten.co.jp/category/42-560/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d504d05b3549143799b82ae83976ac92d49e8a0e.64.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d504d05b3549143799b82ae83976ac92d49e8a0e.64.2.3.2.jpg?thum=54,シマヤ,0.0,4.0,指定なし,ほんのりピリ辛な味わいの中に卵のマイルドさも加わり、子供から大人まで楽しめます。ごはんに肉も野菜も入って汁気もあるので、これ一杯で心もお腹も満足な一品です。,1430010865.0,約10分,"['牛薄切り肉', '長ねぎ', 'しいたけ', '卵', 'キムチ', 'ご飯', '万能ねぎ（小口切り）', '白ごま', '水', 'Ａシマヤ無添加だしいりこ', 'Ａ味噌', 'Aしょうゆ', 'A一味唐辛子', 'ごま油']",2018/02/14 13:26:11,カルビクッパ,https://recipe.rakuten.co.jp/recipe/1430010865/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d504d05b3549143799b82ae83976ac92d49e8a0e.64.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1343,3.0,,ケジャン,https://recipe.rakuten.co.jp/category/42-564/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/f6c4c4c2b3977da70ac58bda6cd2ea0d1a8b1132.10.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/f6c4c4c2b3977da70ac58bda6cd2ea0d1a8b1132.10.2.3.2.jpg?thum=54,帰って来たVAN,0.0,2.0,指定なし,ケジャン（韓国のカニ）からいいお出汁が出ます。,1110006095.0,指定なし,"['ケジャン', '水', '長ねぎ', '油揚げ', '味噌', '細ネギ（小口切り）']",2012/12/20 21:12:14,ケジャンのみそ汁♪,https://recipe.rakuten.co.jp/recipe/1110006095/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/f6c4c4c2b3977da70ac58bda6cd2ea0d1a8b1132.10.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1345,3.0,,テンジャンチゲ,https://recipe.rakuten.co.jp/category/42-566/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/205acd22168ffb8fb899e804e80c3a2a69000154.73.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/205acd22168ffb8fb899e804e80c3a2a69000154.73.2.3.2.jpg?thum=54,エリーズ☆レシピ,0.0,1.0,指定なし,これ一品で大満足。ご飯が進むお味噌汁です。,1320009768.0,約30分,"['ズッキーニ', '（なければ茄子やキャベツ）', 'じゃがいも', '玉ねぎ', '椎茸やエノキだけ、又はしめじ', 'あれば干し鱈（プゴ）省いてもok', '豆腐', '水', 'いりこだし粉', '又は', '和風顆粒だし', '●コチュジャン', '●韓国粉唐辛子', '又は粗挽き唐辛子少々', '●テンジャン', '（韓国味噌）又は味噌', '●ニンニクすりおろし', '青ねぎ\u3000又は\u3000青唐辛子', 'ごま油']",2016/07/07 23:07:42,韓国の味噌汁＊テンジャンチゲ。,https://recipe.rakuten.co.jp/recipe/1320009768/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/205acd22168ffb8fb899e804e80c3a2a69000154.73.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1346,3.0,,テンジャンチゲ,https://recipe.rakuten.co.jp/category/42-566/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c7519fa6d83e1f17b7766efd7089499527c3c70c.44.2.3.2.jpg,4.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c7519fa6d83e1f17b7766efd7089499527c3c70c.44.2.3.2.jpg?thum=54,sakanaちゃん,0.0,2.0,300円前後,韓国味噌汁です。辛さは調整して好きな辛さに。,1890010222.0,約15分,"['水', '味噌', 'ダシダ(本だしでも可)', 'なす', '玉ねぎ', '納豆', 'こんにゃく', '豆腐', 'キムチ']",2016/10/07 22:40:04,韓国テンジャングク(韓国味噌汁),https://recipe.rakuten.co.jp/recipe/1890010222/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c7519fa6d83e1f17b7766efd7089499527c3c70c.44.2.3.2.jpg?thum=55,0.0,1.0,0.0,0.0
1356,3.0,,ミネストローネ,https://recipe.rakuten.co.jp/category/43-570/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/6413c25036465329ca990b5b98035d559dd2fe02.06.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/6413c25036465329ca990b5b98035d559dd2fe02.06.2.3.2.jpg?thum=54,魚の大将0203,0.0,1.0,300円前後,野菜を切って、煮込むだけの簡単【ミネストローネ】体も温まりますよ！！,1030004605.0,約30分,"['じゃがいも', '人参', '玉ねぎ', 'ブロッコリー', 'キャベツ', 'ウィンナー', 'ベーコン', '☆トマト缶', '☆コンソメ（固形）', '☆水', '刻みニンニク', 'オリーブオイル', '塩\u3000コショウ']",2013/02/05 14:36:21,トマト缶で野菜たっぷりミネストローネ☆,https://recipe.rakuten.co.jp/recipe/1030004605/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/6413c25036465329ca990b5b98035d559dd2fe02.06.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
1357,3.0,,ミネストローネ,https://recipe.rakuten.co.jp/category/43-570/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b80d88d199e81619d7536b7ba8ba67c88b141b0b.41.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b80d88d199e81619d7536b7ba8ba67c88b141b0b.41.2.3.2.jpg?thum=54,ikeri,0.0,2.0,300円前後,ぐつぐつ煮込むだけ！簡単、美味しい、栄養満点！オリーブオイルで炒めずカロリーオフ,1980022913.0,約15分,"['トマト缶', '玉ねぎ', 'じゃがいも', '人参', 'セロリ', '水', 'コンソメ', 'ソーセージ', '塩', '胡椒', 'パセリ']",2018/01/11 20:05:52,簡単！トマト缶で作るミネストローネ風トマトスープ,https://recipe.rakuten.co.jp/recipe/1980022913/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b80d88d199e81619d7536b7ba8ba67c88b141b0b.41.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
